text_clean,label_binary,label_multi,unanimous,n_hateful,n_offensive,n_neither
"""[USER]: Going back to school sucks more dick than the hoes who attend it.""",non-hateful,offensive,True,0,3,0
"""[USER]: On my way to fuck yo bitch [URL] me as a 9 year old",non-hateful,offensive,True,0,3,0
"""[USER]: [USER] how come you never bring me food"" i dont have a car retard",non-hateful,offensive,True,0,3,0
"""[USER]: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",non-hateful,offensive,True,0,3,0
"""[USER]: How bout them Cowboys!!!!"" Shutup pussy",non-hateful,offensive,False,1,2,0
"""[USER]: LMAOOOOOOOOOOO this nigga [USER] [URL] <bitch want likes for some depressing shit..foh",non-hateful,offensive,True,0,3,0
"""[USER]: [USER] girl you know I was spitting that G shit to you & you was going lbvs""bitch plz",non-hateful,offensive,True,0,3,0
"""[USER]: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",non-hateful,offensive,True,0,3,0
"""[USER]: Harlem shake is just an excuse to go full retard for 30 seconds.""",non-hateful,offensive,False,0,2,1
"""[USER]: amen miley 🙏 [URL] but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",non-hateful,offensive,True,0,3,0
"""[USER]: having one loyal female is wayyyyy better than having hoes , idc 💯""",non-hateful,offensive,True,0,3,0
"""[USER]: Pussy licking pussy.... meow meow #StopWhitePeople2014 🐱 [URL]  😕",non-hateful,offensive,True,0,3,0
"""[USER]: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",non-hateful,offensive,True,0,3,0
"""[USER]: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",non-hateful,offensive,True,0,3,0
"""[USER]: [USER] im the bitch okay nudes pat 😪😏🐸"" wow",non-hateful,offensive,True,0,3,0
"""[USER]: [USER] you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway [URL]",hateful,hateful,True,3,0,0
"""[USER]: The fuck be wrong with these bitches?"" Nobody knows",non-hateful,offensive,True,0,3,0
"""[USER]: Yall shut up:p"" make me bitch",non-hateful,offensive,True,0,3,0
"""[USER]: I hate a ""I'm pregnant"" type of bitch.""",non-hateful,offensive,False,1,2,0
"""[USER]: Got bitches in the DM but I don't ever read'em"" which is y your top 3",non-hateful,offensive,True,0,3,0
"""[USER]: Baseball season for the win. #Yankees"" This is where the love started",non-hateful,neither,True,0,0,3
"""[USER]: Little stupid as bitch I don't fuck with yoooooouuuu..""",non-hateful,offensive,True,0,3,0
"""[USER]: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",non-hateful,offensive,True,0,3,0
"""[USER]: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",non-hateful,neither,True,0,0,3
"""[USER]: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",non-hateful,neither,False,0,1,2
"""[USER]: Pit Bulls Photographed As Lovely Fairy Tale Creatures [URL]  They *are* fairy tale creatures.",non-hateful,neither,True,0,0,3
"""[USER]: [USER] Aw."" ...fag, don't tweet ""aw"" to me lol",non-hateful,offensive,True,0,3,0
"""[USER]: As long as the Lakers trash from now on, I could careless. And that's real."". CC: [USER] hahaha",non-hateful,neither,True,0,0,3
"""[USER]: [USER] I didn't say anything tho"" kiss me then faggot",non-hateful,offensive,True,0,3,0
"""[USER]: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut [URL] 😂 yup",non-hateful,neither,True,0,0,3
"""[USER]: I could go for a fat ass bitch on my lap"" same",non-hateful,offensive,True,0,3,0
"""[USER]: 17 missed calls!!!! 😠😡""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",non-hateful,offensive,True,0,3,0
"""[USER]: “[USER]: 3 | Amo los pies [URL] fuck yeah",non-hateful,offensive,True,0,3,0
"""[USER]: These hoes be thinking Meat won't slap they ass 😴👋"" ainna bruh",non-hateful,offensive,True,0,3,0
"""[USER]: Yall bitches wit no edges be doing the most talking 😩😴✋""😂😂😂",non-hateful,offensive,True,0,3,0
"""[USER]: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",non-hateful,offensive,True,0,3,0
"""[USER]: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",non-hateful,offensive,True,0,3,0
"""[USER]: You a woulda coulda shoulda ass hoe 😳🙊""",non-hateful,offensive,True,0,3,0
"""[USER]: Happy Bday Bitch Ass Nigga [USER]""preciate that bitch roll up!",non-hateful,offensive,True,0,3,0
"""[USER]: [USER] [USER] used to send that bitch up""",non-hateful,offensive,True,0,3,0
"""[USER]: [USER] nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",non-hateful,offensive,False,1,2,0
"""[USER]: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in & outta jail & dumb bitches with mad kids fuckin em.""",non-hateful,offensive,False,1,2,0
"""[USER]: This isn't ghetto.....it's smart [URL] I'm doing this idc",non-hateful,neither,False,0,1,2
"""[USER]: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",non-hateful,offensive,False,0,2,1
"""[USER]: Being single isn't an excuse to be a hoe."" [USER]",non-hateful,offensive,True,0,3,0
"""[USER]: White boy power bitch"" black power bitch",non-hateful,offensive,False,1,2,0
"""[USER]: Lets get drunk, get blowed, spit shit spark blunts & fuck hoes!"" Bro white dudes have no chill.",non-hateful,offensive,True,0,3,0
"""[USER]: [USER] bitch where u been"" Around the world and back. Where you been?",non-hateful,offensive,True,0,3,0
"""[USER]: [USER] if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off 😂😂😂😂"" *by [USER] *",non-hateful,offensive,True,0,3,0
"""[USER]: #oomf is soooo cute. But he probably has hoes on him a lot.""",non-hateful,offensive,False,0,2,1
"""[USER]: In every cartoon theirs alway a [USER] saving these hoes lmao. [URL] lmao damn captain SaveAHoe",non-hateful,offensive,True,0,3,0
"""[USER]: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking [URL] hot sox and legs",non-hateful,neither,False,0,1,2
"""[USER]: I wish I was a bitch like my brother keezy 😒"" ooooow I bet you do",non-hateful,offensive,True,0,3,0
"""[USER]: stop being scared to choke her during sex u bitch ass niggas. She’ll like it."". Says the guy who hits women out of bed. FOH",non-hateful,offensive,True,0,3,0
"""[USER]: [USER] ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",non-hateful,offensive,True,0,3,0
"""[USER]: You're not a man if you refer to every girl as a bitch""",non-hateful,offensive,True,0,3,0
"""[USER]: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",non-hateful,offensive,True,0,3,0
"""[USER]: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",non-hateful,neither,False,0,1,2
"""[USER]: [USER] io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",non-hateful,offensive,False,0,2,1
"""[USER]: [USER] naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",non-hateful,offensive,True,0,3,0
"""[USER]: Ol dirty foot ass bitches.."" this was too funny to me.",non-hateful,offensive,True,0,3,0
"""[USER]: [USER] that's where I get my yellow flags for being amazing 👏😌"" HELL YEAH NIGGY",non-hateful,offensive,True,0,3,0
"""[USER]: Don't got time for bitches to be actin iffy.""",non-hateful,offensive,True,0,3,0
"""[USER] #UCFPINKPAY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",non-hateful,neither,True,0,0,3
"""[USER]: These hoes ain't loyal ; no they ain't [URL]  Smfh & wonder why nobody decent wants them",non-hateful,offensive,False,0,2,1
"""[USER]: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",non-hateful,offensive,True,0,3,0
"""[USER]: dry pussy bitches always blame it on the condom😂""👏😂👏😂",non-hateful,offensive,True,0,3,0
"""[USER]: shut yo bitch ass up! [URL] 😭😂",non-hateful,offensive,True,0,3,0
"""[USER]: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",non-hateful,offensive,True,0,3,0
"""[USER]: You love these hoes more then money wats wrong these niggas""",non-hateful,offensive,True,0,3,0
"""[USER]: Easy cum, easy hoe"" That's a fact !",non-hateful,offensive,True,0,3,0
"""[USER]: Charlie Sheen is too real [URL] major fucking respect for Charlie Sheen.",non-hateful,offensive,True,0,3,0
"""[USER]: Wish I had a bae 😕""  You got all the hoes tho",non-hateful,offensive,True,0,3,0
"""[USER]: Fuck twerking bitch can you cook ?""",non-hateful,offensive,True,0,3,0
"""[USER]: [USER] bitch wtf"" [URL]",non-hateful,offensive,True,0,3,0
"""[USER]: “[USER]: ""[USER]: Shut up zoe"" fight me pussy” for zoe? I'm good, man."" You are good ma'am. Move along now",non-hateful,offensive,False,1,2,0
"""[USER]: Lmao fucking snake bitches"" @ em",non-hateful,offensive,True,0,3,0
"""[USER]: Big booty hoes everywhere sheesh 😍"" damn 🌿👀🌿",non-hateful,offensive,True,0,3,0
"""[USER]: Stay tuned to [USER] for an update on the report that [USER] 1B [USER] will be out 8-10 weeks"" [USER] #bum",non-hateful,neither,True,0,0,3
"""[USER]: “[USER]: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut [URL] yes lmfao""[USER]",non-hateful,neither,True,0,0,3
"""[USER]: Oregon chokes every year get off the field trash ass program"" RFT",non-hateful,offensive,True,0,3,0
"""[USER]: Def not cowboy lol  [USER]: Terrell Owens was the best Eagle & Cowboy ever"" ..dude cried like a bitch on tv, over Romo",non-hateful,offensive,True,0,3,0
"""[USER]: LMFAOOOO I HATE BLACK PEOPLE [URL] This is why there's black people and niggers",hateful,hateful,True,3,0,0
"""[USER]: [USER] [USER] How could u do this to me bitch"" potent",non-hateful,offensive,True,0,3,0
"""[USER]: [URL] a pissed lad past out. I would lick his dirty soles while he slept.",non-hateful,neither,False,0,1,2
"""[USER]: [URL] love frat boy w/ soft long soles",non-hateful,neither,False,0,1,2
"""[USER]: [URL] sexy lad with hot soles and arches.",non-hateful,neither,False,0,1,2
"""[USER]: [USER] nah fam I gotta cheat with the hoes"" depends on the female i feel",non-hateful,offensive,True,0,3,0
"""[USER]: [USER] 👏👏👏👏🙌"" I got hicks lol",non-hateful,neither,True,0,0,3
"""[USER]: This new twitter is confusing the shit out of me."" Go back to south america bitch",non-hateful,offensive,False,1,2,0
"""[USER]: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",non-hateful,offensive,True,0,3,0
"""[USER]: but what if he actually does choose the ugly bitch over you? ""Her ass must be fat!",non-hateful,offensive,True,0,3,0
"""[USER]: bitch couldn't kill my vibe if ya tried. 🌈🌈🌈"" dis why i love miley :*",non-hateful,offensive,True,0,3,0
"""[USER]: I'm tired of bitches saying I look mean.. 😒"" nigga you big af, wear tight shirts, and grim everybody.",non-hateful,offensive,True,0,3,0
"""[USER]: ""Stay beautiful you bitch""""",non-hateful,offensive,True,0,3,0
"""[USER]: #WutKinda  r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls",non-hateful,offensive,True,0,3,0
"""[USER]: Money getting taller and bitches getting blurry""",non-hateful,offensive,True,0,3,0
"""[USER]: I ain't never seen a bitch so obsessed with they nigga😂"" I'm obsessed with mine 😑",non-hateful,offensive,False,1,2,0
"""[USER]: Kobe stay talking trash. But let's not forget [URL] [USER] I meant to do this one. Smh.",non-hateful,offensive,False,0,2,1
"""[USER]: ""At least I'm not a nigger"" [URL]  Lmfao",hateful,hateful,False,2,1,0
"""[USER]: People always asking me what I'm mixed with."" She a bad asian bitch lol",non-hateful,offensive,True,0,3,0
"""[USER]: [USER] Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",hateful,hateful,False,2,1,0
"""[USER]: “[USER]: Fosters home for imaginary trash” WHOA CHILL""  that show was everything tf",non-hateful,neither,False,0,1,2
"""[USER]: “[USER]: Stop bringing weird niggers into my mentions! [USER]” [URL]",non-hateful,offensive,True,0,3,0
"""[USER]: We don't love these hoes 👐🙅""",non-hateful,offensive,True,0,3,0
"""[USER]: If yo girl cant have homeboys you a ol weak bitch ass nigga!""",non-hateful,offensive,True,0,3,0
"""[USER]: [USER] I think worst advice I gave you was "" don't be a pussy and speed up"" lol""",non-hateful,offensive,True,0,3,0
"""[USER]: Quote this tweet with your favorite animal.""pussy",non-hateful,offensive,True,0,3,0
"""[USER]: I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!""",non-hateful,offensive,True,0,3,0
"""[USER]: Andrewbryant: Poff has double vision after 2 beers Poff: ... Double pussy 😎"" smh",non-hateful,offensive,True,0,3,0
"""[USER]: When bitches TWERK on the computer....  ME: ""In ya 👙, in ya damn 👙‼️""""",non-hateful,offensive,True,0,3,0
"""[USER]: “[USER]: “[USER]: [USER] Prince, THIS is art. [URL] nobody takin his bitch!",non-hateful,offensive,True,0,3,0
"""[USER]: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.""",non-hateful,neither,False,0,1,2
"""[USER]: These bitches don't care they just play that role.""",non-hateful,offensive,True,0,3,0
"""[USER]: [USER] inna di ghetto!!!"" You alone lmaoo",non-hateful,neither,False,0,1,2
"""[USER]: “[USER]: [USER] [USER] hoes Austin” teach us Austin.""I teach u how to get curved? That's all I know",non-hateful,neither,False,0,1,2
"""[USER]: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",non-hateful,offensive,False,1,2,0
"""[USER]: Fat hoes get chose"" lol",non-hateful,offensive,True,0,3,0
"""[USER]: #hoesaintloyal"" well they're hoes,no one expects them to be loyal",non-hateful,offensive,True,0,3,0
"""[USER]: [USER] [USER] ol bitch ass"" [URL]",non-hateful,offensive,True,0,3,0
"""[USER]: Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo",non-hateful,offensive,False,1,2,0
"""[USER]: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you",non-hateful,offensive,True,0,3,0
"""[USER] : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory"" Me: *rolls on the floor, laughing*",non-hateful,offensive,True,0,3,0
"""[USER]: ""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot",non-hateful,offensive,False,1,2,0
"""[USER]: @ One of your followers with this 😍😩 [URL] @ somebody, bitch if you don't",non-hateful,offensive,True,0,3,0
"""[USER]: If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!",non-hateful,offensive,True,0,3,0
"""[USER]: These catfish hoes thinkin they slick.. But niggas catching on 😌""",non-hateful,offensive,True,0,3,0
"""[USER]: Can't worry about a bitch that ain't worried bout me"" #real",non-hateful,offensive,True,0,3,0
"""[USER]: Side hoes are for insecure niggas that can't handle a real one.""",non-hateful,offensive,True,0,3,0
"""[USER]: 😂😂😂😂 [USER]: Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" 😭😭😭",non-hateful,offensive,True,0,3,0
"""[USER]: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers 😂""",non-hateful,offensive,True,0,3,0
"""[USER]: i'm hungry but ionn wanna spend my money on food😒""Broke hoe problems 😂😂😂💀",non-hateful,offensive,True,0,3,0
"""[USER]: [URL] oh yeah fuck that bitch",non-hateful,offensive,True,0,3,0
"""[USER]: Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash",non-hateful,neither,False,0,1,2
"""[USER]: USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. » [URL] he's a bitch",non-hateful,neither,False,0,1,2
"""[USER]: Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy",non-hateful,offensive,True,0,3,0
"""[USER]: Chilling 👅™ [URL] sexy scally lad",non-hateful,neither,False,0,1,2
"""[USER]: I ain't sharing no bitch if you mines you mines 💯""",non-hateful,offensive,True,0,3,0
"""[USER]: money only impress the simple broke bitches""",non-hateful,offensive,True,0,3,0
"""[USER]: #Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht",non-hateful,offensive,False,0,2,1
"""[USER]: [USER] [USER] tuku ho idk blah blah blah"" 😂😂😂",non-hateful,neither,False,0,1,2
"""[USER]: [USER] [USER] I'm not mad cuh hahaha"" suure.. tuku ho ita! 😂😂",non-hateful,neither,False,0,1,2
"""[USER]: These hoes is crazy""",non-hateful,offensive,True,0,3,0
"""[USER]: You ain't ever gonna be a slice bitch."" Kevin hart. (:",non-hateful,offensive,True,0,3,0
"""[USER]: Oomf so fuckin fine tho 😩 dam"" @ her, don't be no bitch.",non-hateful,offensive,True,0,3,0
"""[USER]: I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags",non-hateful,offensive,False,1,2,0
"""[USER]: #NewSATQuestions Yeah bitch, yeah bitch, call me _______: a.) Maybe b.) Steve-O c.) Later d.) Jesse Pinkman"" [USER]",non-hateful,offensive,True,0,3,0
"""[USER]: Hickies in between her thighs right by her pussy >>>"" Its only right",non-hateful,offensive,True,0,3,0
"""[USER]: Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass.",non-hateful,offensive,True,0,3,0
"""[USER]: [USER] [USER] y'all come through the front.""bitch I ain't coming",non-hateful,offensive,False,1,2,0
"""[USER]: [USER] faggot bitch"" [URL]",non-hateful,offensive,False,1,2,0
"""[USER]: [USER] yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up [USER]""i work 2-5",non-hateful,offensive,True,0,3,0
"""[USER]: [URL] this scally lad would get it",non-hateful,neither,False,0,1,2
"""[USER]: #GerrysHalloweenParty [URL] Halloween was yesterday stupid nigger",hateful,hateful,False,2,1,0
"""[USER]: Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* [URL]",non-hateful,offensive,False,0,2,1
"""[USER]: “[USER]: I love eating pussy lol I never get full lol” I can eat that shit forever lol"" and ever.",non-hateful,offensive,True,0,3,0
"""[USER]: “[USER]: ""[USER]: “[USER]: No slushes 😥”hoes nasty anyway fam""😴”them hoes taste like meds""🍇🍇🍼",non-hateful,offensive,True,0,3,0
"""[USER]: “[USER]: No slushes 😥”hoes nasty anyway fam""😴",non-hateful,offensive,False,0,2,1
"""[USER]: BOBBY BITCH-by [USER] be getting me live as fuck"" hell yea i play that hoe before my workout",non-hateful,offensive,False,1,2,0
"""[USER]: Yo bitch is Gucci Mane  [USER] : My bitch a stoner 💯💯 [URL]",non-hateful,offensive,True,0,3,0
"""[USER]: I can ride your bitch with no handle bars""",non-hateful,offensive,True,0,3,0
"""[USER]: And if you ain't a hoe get up out my traphoussseeeee""",non-hateful,offensive,True,0,3,0
